,required,required,required,required,required,required,required,required,required,required,required,required,required
,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32
,id,type,data1,data2,data3,itemtype_ID1,itemtype_num1,itemtype_ID2,itemtype_num2,itemtype_ID3,itemtype_num3,itemtype_ID4,itemtype_num4
备注,流水ID,活动类型,表示奖励的参数,表示奖励的参数,表示奖励的参数,奖励物品1ID,奖励物品1数量,奖励物品2ID,奖励物品2数量,奖励物品3ID,奖励物品3数量,奖励物品4ID,奖励物品4数量
,10015,2,2,2,100,1,500,3,1000,0,0,0,0
,10016,2,2,3,500,1,1000,3,2000,3040013,1,0,0
,10017,2,2,4,1000,1,2000,3,5000,3040013,2,3010013,1
,10018,2,2,5,2000,1,3000,3,10000,3040013,10,3010013,10
,10019,3,2,1,0,1,3000,3,10000,0,0,0,0
,10020,3,2,2,0,1,2000,3,8000,0,0,0,0
,10021,3,2,3,0,1,1500,3,4000,0,0,0,0
,10022,3,2,4,0,1,1000,3,3000,0,0,0,0
,10023,3,2,5,0,1,800,3,2000,0,0,0,0
,10024,3,2,6,0,1,600,3,1000,0,0,0,0
,10025,3,2,7,0,1,300,3,800,0,0,0,0
,10026,3,2,8,0,1,100,3,500,0,0,0,0
,10027,3,2,9,0,1,60,3,100,0,0,0,0
,10028,3,2,10,0,1,10,3,10,0,0,0,0
,10029,2,3,1,10,1,100,0,0,0,0,0,0
,10030,2,3,2,100,1,500,3,1000,0,0,0,0
,10031,2,3,3,500,1,1000,3,2000,3040013,1,0,0
,10032,2,3,4,1000,1,2000,3,5000,3040013,2,3010013,1
,10033,2,3,5,2000,1,3000,3,10000,3040013,10,3010013,10
,10034,3,3,1,0,1,3000,3,10000,0,0,0,0
,10035,3,3,2,0,1,2000,3,8000,0,0,0,0
,10036,3,3,3,0,1,1500,3,4000,0,0,0,0
,10037,3,3,4,0,1,1000,3,3000,0,0,0,0
,10038,3,3,5,0,1,800,3,2000,0,0,0,0
,10039,3,3,6,0,1,600,3,1000,0,0,0,0
,10040,3,3,7,0,1,300,3,800,0,0,0,0
,10041,3,3,8,0,1,100,3,500,0,0,0,0
,10042,3,3,9,0,1,60,3,100,0,0,0,0
,10043,3,3,10,0,1,10,3,10,0,0,0,0
,10044,2,4,1,10,1,100,0,0,0,0,0,0
,10045,2,4,2,100,1,500,3,1000,0,0,0,0
,10046,2,4,3,500,1,1000,3,2000,3040013,1,0,0
,10047,2,4,4,1000,1,2000,3,5000,3040013,2,3010013,1
,10048,2,4,5,2000,1,3000,3,10000,3040013,10,3010013,10
,10049,3,4,1,0,1,3000,3,10000,0,0,0,0
